"Statistic Label","CensusYear","Sex","At Work School or College","Time Leaving Home","Means of Travel","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","06:30 - 07:00","Not stated","Number","835"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","06:30 - 07:00","All means of travel","Number","291986"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:01 - 07:30","On foot","Number","15450"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:01 - 07:30","Bicycle","Number","6600"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:01 - 07:30","Bus, minibus or coach","Number","18120"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:01 - 07:30","Train, DART or LUAS","Number","10708"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:01 - 07:30","Motorcycle or scooter","Number","1057"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:01 - 07:30","Motor car: Driver","Number","160941"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:01 - 07:30","Motor car: Passenger","Number","11719"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:01 - 07:30","Van","Number","25493"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:01 - 07:30","Other, incl. lorry","Number","1623"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:01 - 07:30","Not stated","Number","535"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:01 - 07:30","All means of travel","Number","252246"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:31 - 08:00","On foot","Number","27005"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:31 - 08:00","Bicycle","Number","11506"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:31 - 08:00","Bus, minibus or coach","Number","23183"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:31 - 08:00","Train, DART or LUAS","Number","15766"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:31 - 08:00","Motorcycle or scooter","Number","1409"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:31 - 08:00","Motor car: Driver","Number","237833"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:31 - 08:00","Motor car: Passenger","Number","13191"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:31 - 08:00","Van","Number","26920"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:31 - 08:00","Other, incl. lorry","Number","2014"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:31 - 08:00","Not stated","Number","873"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","07:31 - 08:00","All means of travel","Number","359700"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:01 - 08:30","On foot","Number","32319"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:01 - 08:30","Bicycle","Number","12495"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:01 - 08:30","Bus, minibus or coach","Number","12330"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:01 - 08:30","Train, DART or LUAS","Number","8485"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:01 - 08:30","Motorcycle or scooter","Number","1226"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:01 - 08:30","Motor car: Driver","Number","219196"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:01 - 08:30","Motor car: Passenger","Number","10869"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:01 - 08:30","Van","Number","15034"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:01 - 08:30","Other, incl. lorry","Number","858"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:01 - 08:30","Not stated","Number","685"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:01 - 08:30","All means of travel","Number","313497"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:31 - 09:00","On foot","Number","27651"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:31 - 09:00","Bicycle","Number","6861"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:31 - 09:00","Bus, minibus or coach","Number","7207"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:31 - 09:00","Train, DART or LUAS","Number","3281"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:31 - 09:00","Motorcycle or scooter","Number","739"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:31 - 09:00","Motor car: Driver","Number","122092"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:31 - 09:00","Motor car: Passenger","Number","7181"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:31 - 09:00","Van","Number","9210"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:31 - 09:00","Other, incl. lorry","Number","592"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:31 - 09:00","Not stated","Number","536"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","08:31 - 09:00","All means of travel","Number","185350"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","09:01 - 09:30","On foot","Number","7594"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","09:01 - 09:30","Bicycle","Number","1864"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","09:01 - 09:30","Bus, minibus or coach","Number","2368"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","09:01 - 09:30","Train, DART or LUAS","Number","828"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","09:01 - 09:30","Motorcycle or scooter","Number","226"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","09:01 - 09:30","Motor car: Driver","Number","30890"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","09:01 - 09:30","Motor car: Passenger","Number","2414"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","09:01 - 09:30","Van","Number","2217"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","09:01 - 09:30","Other, incl. lorry","Number","182"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","09:01 - 09:30","Not stated","Number","129"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","09:01 - 09:30","All means of travel","Number","48712"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","After 09:30","On foot","Number","28335"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","After 09:30","Bicycle","Number","6166"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","After 09:30","Bus, minibus or coach","Number","13160"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","After 09:30","Train, DART or LUAS","Number","3071"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","After 09:30","Motorcycle or scooter","Number","1120"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","After 09:30","Motor car: Driver","Number","88772"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","After 09:30","Motor car: Passenger","Number","11288"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","After 09:30","Van","Number","3867"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","After 09:30","Other, incl. lorry","Number","530"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","After 09:30","Not stated","Number","633"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","After 09:30","All means of travel","Number","156942"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Not stated","On foot","Number","9394"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Not stated","Bicycle","Number","2121"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Not stated","Bus, minibus or coach","Number","4894"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Not stated","Train, DART or LUAS","Number","1395"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Not stated","Motorcycle or scooter","Number","304"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Not stated","Motor car: Driver","Number","35259"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Not stated","Motor car: Passenger","Number","3224"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Not stated","Van","Number","4122"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Not stated","Other, incl. lorry","Number","1359"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Not stated","Not stated","Number","158962"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Not stated","All means of travel","Number","221034"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","All departure times","On foot","Number","133314"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","All departure times","Bicycle","Number","13752"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","All departure times","Bus, minibus or coach","Number","51597"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","All departure times","Train, DART or LUAS","Number","964"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","All departure times","Motorcycle or scooter","Number","0"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","All departure times","Motor car: Driver","Number","0"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","All departure times","Motor car: Passenger","Number","310948"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","All departure times","Van","Number","1082"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","All departure times","Other, incl. lorry","Number","434"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","All departure times","Not stated","Number","51026"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","All departure times","All means of travel","Number","563117"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","Before 06:30","On foot","Number","200"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","Before 06:30","Bicycle","Number","26"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","Before 06:30","Bus, minibus or coach","Number","88"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","Before 06:30","Train, DART or LUAS","Number","10"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","Before 06:30","Motorcycle or scooter","Number","0"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","Before 06:30","Motor car: Driver","Number","0"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","Before 06:30","Motor car: Passenger","Number","487"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","Before 06:30","Van","Number","3"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","Before 06:30","Other, incl. lorry","Number","0"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","Before 06:30","Not stated","Number","40"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","Before 06:30","All means of travel","Number","854"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","06:30 - 07:00","On foot","Number","328"
